Time (s),Dummy,temp (K),Field (kG),Voltage (V),phase
0,0.0,1.456,-5.0,0.00384285,-2.61
0.410360813141,0.0,1.456,-5.0,0.00384285,-2.61
0.776121854782,0.0,1.456,-5.0,0.00384285,-2.61
1.27813482285,0.0,1.456,-5.0,0.00384237,-2.61
1.67576479912,0.0,1.456,-5.0,0.00384237,-2.61
2.02930092812,0.0,1.456,-5.0,0.00384237,-2.61
2.43665289879,0.0,1.456,-5.0,0.00384237,-2.604
2.82892799377,0.0,1.456,-5.0,0.00384237,-2.604
3.27713179588,0.0,1.456,-5.0,0.00384237,-2.604
3.62695789337,0.0,1.456,-5.0,0.00384237,-2.604
3.98347496986,0.0,1.456,-5.0,0.00384237,-2.604
4.43581700325,0.0,1.456,-5.0,0.00384237,-2.604
4.83660984039,0.0,1.456,-5.0,0.00384237,-2.604
5.24078297615,0.0,1.456,-5.0,0.00384237,-2.604
5.6442399025,0.0,1.456,-5.0,0.00384237,-2.604
6.03751587868,0.0,1.456,-5.0,0.00384237,-2.604
6.50828886032,0.0,1.456,-5.0,0.00384237,-2.604
6.8987019062,0.0,1.456,-5.0,0.00384237,-2.604
7.30917477608,0.0,1.456,-5.0,0.00384237,-2.604
7.70539999008,0.0,1.456,-5.0,0.00384237,-2.604
8.0520298481,0.0,1.456,-5.0,0.00384237,-2.604
8.39603185654,0.0,1.456,-5.0,0.00384237,-2.604
8.79196190834,0.0,1.456,-5.0,0.00384237,-2.604
9.30932188034,0.0,1.456,-5.0,0.00384237,-2.604
9.66756391525,0.0,1.456,-4.999,0.00384237,-2.604
10.0676658154,0.0,1.456,-4.993,0.00384237,-2.604
10.4822878838,0.0,1.456,-4.985,0.00384237,-2.604
10.9031589031,0.0,1.456,-4.985,0.00384237,-2.604
11.2698898315,0.0,1.456,-4.981,0.00384237,-2.604
11.7050127983,0.0,1.456,-4.973,0.00384237,-2.604
12.1171619892,0.0,1.456,-4.968,0.00384237,-2.604
12.5089387894,0.0,1.456,-4.968,0.00384237,-2.604
12.8984639645,0.0,1.456,-4.961,0.00384237,-2.604
13.3073079586,0.0,1.456,-4.954,0.00384237,-2.61
13.7029919624,0.0,1.456,-4.947,0.00384237,-2.61
14.1032588482,0.0,1.456,-4.947,0.00384237,-2.61
14.5114469528,0.0,1.456,-4.941,0.00384237,-2.604
14.9060378075,0.0,1.456,-4.934,0.00384237,-2.604
15.3070919514,0.0,1.456,-4.928,0.00384237,-2.604
15.7052509785,0.0,1.456,-4.928,0.00384237,-2.604
16.1034319401,0.0,1.456,-4.923,0.00384237,-2.604
16.5073258877,0.0,1.456,-4.914,0.00384237,-2.604
16.8996539116,0.0,1.456,-4.909,0.00384237,-2.604
17.2720170021,0.0,1.456,-4.909,0.00384237,-2.604
17.7156279087,0.0,1.456,-4.901,0.00384285,-2.604
18.0559248924,0.0,1.456,-4.895,0.00384285,-2.61
18.5297198296,0.0,1.456,-4.888,0.00384285,-2.61
18.9495818615,0.0,1.456,-4.888,0.00384285,-2.61
19.3084487915,0.0,1.456,-4.882,0.00384285,-2.61
19.7289149761,0.0,1.456,-4.874,0.00384285,-2.61
20.1260008812,0.0,1.456,-4.869,0.00384285,-2.61
20.5297818184,0.0,1.456,-4.869,0.00384285,-2.604
20.9179189205,0.0,1.456,-4.862,0.00384332,-2.604
21.3694918156,0.0,1.456,-4.856,0.00384332,-2.604
21.8006539345,0.0,1.456,-4.848,0.00384332,-2.604
22.1935839653,0.0,1.456,-4.842,0.00384332,-2.604
22.5827639103,0.0,1.456,-4.842,0.00384332,-2.604
22.9952509403,0.0,1.456,-4.834,0.00384332,-2.604
23.4289278984,0.0,1.456,-4.827,0.00384332,-2.604
23.8220288754,0.0,1.456,-4.821,0.00384332,-2.604
24.2259099483,0.0,1.456,-4.821,0.00384332,-2.61
24.6745848656,0.0,1.456,-4.813,0.00384332,-2.61
25.0428218842,0.0,1.456,-4.807,0.00384332,-2.61
25.430013895,0.0,1.456,-4.8,0.0038438,-2.61
25.8248388767,0.0,1.456,-4.794,0.0038438,-2.61
26.2244319916,0.0,1.456,-4.794,0.0038438,-2.61
26.6248238087,0.0,1.456,-4.786,0.0038438,-2.61
27.0384478569,0.0,1.456,-4.781,0.00384428,-2.61
27.4325339794,0.0,1.456,-4.773,0.00384428,-2.61
27.8255069256,0.0,1.456,-4.773,0.00384428,-2.61
28.1805648804,0.0,1.456,-4.767,0.00384428,-2.61
28.6078948975,0.0,1.456,-4.759,0.00384428,-2.61
29.0391178131,0.0,1.456,-4.759,0.00384475,-2.61
29.4341378212,0.0,1.456,-4.751,0.00384475,-2.61
29.8244588375,0.0,1.456,-4.745,0.00384475,-2.61
30.2247588634,0.0,1.456,-4.738,0.00384475,-2.61
30.626115799,0.0,1.456,-4.738,0.00384475,-2.61
31.0196437836,0.0,1.456,-4.731,0.00384475,-2.61
31.4669289589,0.0,1.456,-4.724,0.00384475,-2.61
31.8434488773,0.0,1.456,-4.718,0.00384523,-2.61
32.2320590019,0.0,1.456,-4.71,0.00384523,-2.61
32.6245748997,0.0,1.456,-4.71,0.00384523,-2.61
33.0471348763,0.0,1.456,-4.703,0.00384523,-2.61
33.4339878559,0.0,1.456,-4.695,0.00384571,-2.61
33.8419659138,0.0,1.456,-4.695,0.00384571,-2.61
34.2783579826,0.0,1.456,-4.69,0.00384571,-2.61
34.6817059517,0.0,1.456,-4.681,0.00384571,-2.61
35.0707058907,0.0,1.456,-4.676,0.00384571,-2.61
35.4790008068,0.0,1.456,-4.676,0.00384571,-2.61
35.8692588806,0.0,1.456,-4.668,0.00384571,-2.61
36.2751147747,0.0,1.456,-4.662,0.00384618,-2.61
36.6741199493,0.0,1.456,-4.654,0.00384618,-2.604
37.0707769394,0.0,1.456,-4.654,0.00384618,-2.604
37.4310998917,0.0,1.456,-4.648,0.00384666,-2.604
37.8446018696,0.0,1.456,-4.64,0.00384666,-2.604
38.276766777,0.0,1.456,-4.633,0.00384666,-2.604
38.6399679184,0.0,1.456,-4.633,0.00384666,-2.604
39.0212349892,0.0,1.456,-4.626,0.00384666,-2.604
39.456720829,0.0,1.456,-4.618,0.00384666,-2.604
39.8707768917,0.0,1.456,-4.612,0.00384666,-2.604
40.2779510021,0.0,1.456,-4.612,0.00384714,-2.604
40.6412029266,0.0,1.456,-4.604,0.00384714,-2.604
41.025810957,0.0,1.456,-4.599,0.00384714,-2.604
41.4555268288,0.0,1.456,-4.59,0.00384761,-2.604
41.8911178112,0.0,1.456,-4.59,0.00384761,-2.604
42.2887928486,0.0,1.456,-4.585,0.00384761,-2.604
42.6788129807,0.0,1.456,-4.577,0.00384809,-2.604
43.0720617771,0.0,1.456,-4.571,0.00384809,-2.604
43.4801089764,0.0,1.456,-4.571,0.00384809,-2.604
43.8686718941,0.0,1.456,-4.562,0.00384809,-2.604
44.2957878113,0.0,1.456,-4.556,0.00384809,-2.598
44.6860899925,0.0,1.456,-4.548,0.00384809,-2.598
45.0700659752,0.0,1.456,-4.548,0.00384809,-2.604
45.5078959465,0.0,1.456,-4.542,0.00384809,-2.604
45.9178187847,0.0,1.456,-4.534,0.00384857,-2.604
46.3294939995,0.0,1.456,-4.527,0.00384857,-2.61
46.7275028229,0.0,1.456,-4.521,0.00384857,-2.61
47.1265819073,0.0,1.456,-4.521,0.00384904,-2.61
47.532189846,0.0,1.456,-4.514,0.00384904,-2.604
47.9302198887,0.0,1.456,-4.508,0.00384904,-2.604
48.3266940117,0.0,1.456,-4.499,0.00384904,-2.604
48.7354998589,0.0,1.456,-4.499,0.00384904,-2.604
49.1312098503,0.0,1.456,-4.493,0.00384904,-2.604
49.5289177895,0.0,1.456,-4.485,0.00384952,-2.604
49.9218938351,0.0,1.456,-4.479,0.00384952,-2.61
50.3282909393,0.0,1.456,-4.479,0.00384952,-2.61
50.7250089645,0.0,1.456,-4.471,0.00385,-2.61
51.0777819157,0.0,1.456,-4.465,0.00385,-2.61
51.5201449394,0.0,1.456,-4.465,0.00385,-2.604
51.8855137825,0.0,1.456,-4.458,0.00385,-2.604
52.3322598934,0.0,1.456,-4.451,0.00385,-2.604
52.7239909172,0.0,1.456,-4.443,0.00385,-2.604
53.1230409145,0.0,1.456,-4.437,0.00385,-2.604
53.5269699097,0.0,1.456,-4.437,0.00385,-2.604
53.8765368462,0.0,1.456,-4.43,0.00385047,-2.604
54.27628088,0.0,1.456,-4.423,0.00385047,-2.604
54.6741149426,0.0,1.456,-4.423,0.00385047,-2.61
55.0980629921,0.0,1.456,-4.416,0.00385047,-2.61
55.5286958218,0.0,1.456,-4.408,0.00385095,-2.604
55.8770899773,0.0,1.456,-4.402,0.00385095,-2.604
56.2942099571,0.0,1.456,-4.402,0.00385143,-2.61
56.6737878323,0.0,1.456,-4.393,0.00385143,-2.61
57.0992999077,0.0,1.456,-4.388,0.00385143,-2.61
57.5265719891,0.0,1.456,-4.379,0.00385143,-2.61
57.8842198849,0.0,1.456,-4.374,0.00385143,-2.61
58.3037848473,0.0,1.456,-4.374,0.00385143,-2.61
58.7261748314,0.0,1.456,-4.366,0.00385191,-2.61
59.1236670017,0.0,1.456,-4.36,0.00385191,-2.61
59.5266809464,0.0,1.456,-4.352,0.00385191,-2.61
59.9167699814,0.0,1.456,-4.352,0.00385238,-2.604
60.3270828724,0.0,1.456,-4.346,0.00385238,-2.604
60.728718996,0.0,1.456,-4.338,0.00385238,-2.61
61.1879878044,0.0,1.456,-4.331,0.00385238,-2.61
61.5877869129,0.0,1.456,-4.325,0.00385286,-2.61
61.9710087776,0.0,1.456,-4.325,0.00385286,-2.61
62.3834459782,0.0,1.456,-4.317,0.00385286,-2.61
62.7734098434,0.0,1.456,-4.311,0.00385286,-2.61
63.1788239479,0.0,1.456,-4.303,0.00385334,-2.604
63.5790178776,0.0,1.456,-4.303,0.00385334,-2.604
63.9807620049,0.0,1.456,-4.296,0.00385334,-2.61
64.3777577877,0.0,1.456,-4.288,0.00385334,-2.61
64.7723639011,0.0,1.456,-4.282,0.00385334,-2.61
65.1772108078,0.0,1.456,-4.282,0.00385334,-2.61
65.5754578114,0.0,1.456,-4.274,0.00385381,-2.604
65.9729478359,0.0,1.456,-4.269,0.00385381,-2.604
66.3775658607,0.0,1.456,-4.269,0.00385381,-2.604
66.7216119766,0.0,1.456,-4.261,0.00385381,-2.604
67.1750349998,0.0,1.456,-4.255,0.00385429,-2.604
67.5412409306,0.0,1.456,-4.245,0.00385429,-2.604
67.9340248108,0.0,1.456,-4.245,0.00385429,-2.604
68.345484972,0.0,1.456,-4.24,0.00385429,-2.604
68.7399599552,0.0,1.456,-4.232,0.00385429,-2.604
69.1578178406,0.0,1.456,-4.232,0.00385429,-2.604
69.5739150047,0.0,1.456,-4.226,0.00385429,-2.604
70.0038268566,0.0,1.456,-4.218,0.00385477,-2.604
70.3999848366,0.0,1.456,-4.211,0.00385477,-2.604
70.8031189442,0.0,1.456,-4.204,0.00385477,-2.604
71.2087907791,0.0,1.456,-4.196,0.00385477,-2.604
71.579474926,0.0,1.456,-4.196,0.00385524,-2.604
72.0134449005,0.0,1.456,-4.19,0.00385524,-2.604
72.4129447937,0.0,1.456,-4.182,0.00385524,-2.604
72.8052129745,0.0,1.456,-4.176,0.00385572,-2.604
73.2055428028,0.0,1.456,-4.176,0.00385572,-2.604
73.611579895,0.0,1.456,-4.168,0.00385572,-2.604
74.0010778904,0.0,1.456,-4.163,0.00385572,-2.61
74.4140608311,0.0,1.456,-4.155,0.0038562,-2.61
74.8002398014,0.0,1.456,-4.155,0.0038562,-2.61
75.2032427788,0.0,1.456,-4.148,0.0038562,-2.61
75.5734839439,0.0,1.456,-4.139,0.0038562,-2.61
76.0247189999,0.0,1.456,-4.139,0.00385667,-2.61
76.4109179974,0.0,1.456,-4.134,0.00385667,-2.61
76.8113298416,0.0,1.456,-4.125,0.00385667,-2.61
77.2082958221,0.0,1.456,-4.119,0.00385667,-2.61
77.5721387863,0.0,1.456,-4.119,0.00385667,-2.61
77.9891707897,0.0,1.456,-4.112,0.00385667,-2.61
78.4220438004,0.0,1.456,-4.105,0.00385715,-2.61
78.8050718307,0.0,1.456,-4.099,0.00385715,-2.61
79.15989995,0.0,1.456,-4.099,0.00385715,-2.61
79.5953388214,0.0,1.456,-4.091,0.00385763,-2.61
80.0004968643,0.0,1.456,-4.084,0.00385763,-2.61
80.4104728699,0.0,1.456,-4.076,0.00385763,-2.61
80.8003277779,0.0,1.456,-4.076,0.00385763,-2.61
81.2157797813,0.0,1.456,-4.07,0.00385763,-2.61
81.6047358513,0.0,1.456,-4.063,0.0038581,-2.61
81.9999418259,0.0,1.456,-4.056,0.0038581,-2.61
82.4099578857,0.0,1.456,-4.056,0.0038581,-2.61
82.8006699085,0.0,1.456,-4.048,0.00385858,-2.61
83.2049458027,0.0,1.456,-4.042,0.00385858,-2.61
83.5723109245,0.0,1.456,-4.034,0.00385858,-2.61
83.9839959145,0.0,1.456,-4.034,0.00385906,-2.61
84.4405119419,0.0,1.456,-4.028,0.00385906,-2.61
84.8016829491,0.0,1.456,-4.021,0.00385906,-2.61
85.2302098274,0.0,1.456,-4.014,0.00385906,-2.61
85.6092557907,0.0,1.456,-4.007,0.00385906,-2.61
86.0113430023,0.0,1.456,-4.007,0.00385953,-2.61
86.4094929695,0.0,1.456,-3.999,0.00385953,-2.61
86.8005428314,0.0,1.456,-3.993,0.00385953,-2.61
87.2217648029,0.0,1.456,-3.993,0.00385953,-2.61
87.6046988964,0.0,1.456,-3.984,0.00386001,-2.61
88.023832798,0.0,1.456,-3.978,0.00386001,-2.61
88.4576258659,0.0,1.456,-3.97,0.00386001,-2.61
88.8613507748,0.0,1.456,-3.964,0.00386001,-2.61
89.2545089722,0.0,1.456,-3.964,0.00386001,-2.61
89.6531589031,0.0,1.456,-3.956,0.00386001,-2.61
90.0627307892,0.0,1.456,-3.95,0.00386001,-2.61
90.4625408649,0.0,1.456,-3.942,0.00386049,-2.61
90.8525929451,0.0,1.456,-3.942,0.00386049,-2.61
91.2764978409,0.0,1.456,-3.936,0.00386097,-2.61
91.666962862,0.0,1.456,-3.928,0.00386097,-2.604
92.0614309311,0.0,1.456,-3.923,0.00386097,-2.604
92.4741449356,0.0,1.456,-3.914,0.00386097,-2.604
92.8700478077,0.0,1.456,-3.914,0.00386097,-2.604
93.2743599415,0.0,1.456,-3.908,0.00386144,-2.604
93.6742529869,0.0,1.456,-3.901,0.00386144,-2.604
94.0720658302,0.0,1.456,-3.894,0.00386192,-2.604
94.4841787815,0.0,1.456,-3.894,0.0038624,-2.604
94.8629589081,0.0,1.456,-3.887,0.0038624,-2.604
95.2746138573,0.0,1.456,-3.88,0.0038624,-2.604
95.6770479679,0.0,1.456,-3.88,0.0038624,-2.604
96.0597529411,0.0,1.456,-3.873,0.0038624,-2.604
96.4675409794,0.0,1.456,-3.865,0.0038624,-2.604
96.8705048561,0.0,1.456,-3.86,0.0038624,-2.604
